		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000100111  217  263  256  240  245  263  246  246  6.699451 0.569379 SUCCESS  18
000101001  199  235  255  250  237  245  247  248 12.641236 0.124804 SUCCESS  19
000101011  262  243  240  252  249  269  271  244  4.703943 0.788699 SUCCESS  20
000101101  266  257  254  228  259  224  255  284 11.352315 0.182524 SUCCESS  21
000101111  259  253  236  248  236  219  229  261  8.304364 0.404318 SUCCESS  22
000110011  297  264  228  215  244  255  261  220 21.495733 0.005941 FAILURE  23
000110101  231  227  238  246  257  256  246  240  5.168234 0.739453 SUCCESS  24
000110111  254  269  249  267  256  268  257  258  4.726699 0.786348 SUCCESS  25
000111001  264  234  244  294  244  249  257  269 11.885519 0.156385 SUCCESS  26
000111011  256  271  260  269  244  246  232  256  5.589859 0.693065 SUCCESS  27
000111101  235  210  252  244  211  247  258  241 14.633123 0.066684 SUCCESS  28
000111111  239  257  238  258  235  249  249  261  3.001931 0.934236 SUCCESS  29
001000011  245  231  243  246  255  235  227  260  5.495216 0.703570 SUCCESS  30
001000101  253  252  286  252  255  257  234  264  7.615491 0.471902 SUCCESS  31
001000111  231  228  249  241  255  261  243  247  4.673560 0.791828 SUCCESS  32
001001011  251  251  274  231  225  222  252  276 12.525648 0.129246 SUCCESS  33
001001101  259  266  239  240  251  250  281  265  7.226319 0.512423 SUCCESS  34
001001111  232  267  259  214  229  260  235  227 13.581325 0.093352 SUCCESS  35
001010011  219  239  252  273  267  253  232  247  9.290222 0.318408 SUCCESS  36
001010101  248  257  268  256  257  244  229  260  4.301196 0.828978 SUCCESS  37
001010111  256  253  248  226  255  248  282  249  6.948857 0.542161 SUCCESS  38
001011011  250  254  252  246  245  249  218  267  5.686440 0.682308 SUCCESS  39
001011101  279  269  265  241  241  251  235  254  7.580065 0.475526 SUCCESS  40
001011111  264  238  260  248  219  257  229  255  7.939887 0.439364 SUCCESS  41
001100101  250  256  262  251  264  265  249  264  3.313657 0.913161 SUCCESS  42
001100111  270  272  239  261  252  267  251  228  7.882739 0.445008 SUCCESS  43
001101011  249  244  221  242  271  262  241  248  6.666610 0.572992 SUCCESS  44
001101101  266  239  245  256  252  250  254  258  2.162303 0.975627 SUCCESS  45
001101111  266  266  258  260  258  266  286  214 14.854473 0.062038 SUCCESS  46
001110101  258  250  254  254  247  234  236  249  2.306335 0.970151 SUCCESS  47
001110111  256  253  252  269  261  261  255  241  3.142343 0.925110 SUCCESS  48
001111011  251  225  258  255  242  224  272  215 13.083160 0.109020 SUCCESS  49
001111101  253  235  245  258  256  234  255  225  5.228743 0.732871 SUCCESS  50
001111111  239  266  234  250  247  265  252  268  4.946885 0.763238 SUCCESS  51
010000011  260  251  260  253  249  237  265  256  2.656073 0.954055 SUCCESS  52
010000111  226  241  255  242  242  241  243  250  3.881382 0.867664 SUCCESS  53
010001011  271  238  256  227  218  235  245  257 10.224881 0.249596 SUCCESS  54
010001111  220  246  244  246  252  264  257  223  8.045131 0.429074 SUCCESS  55
010010011  262  249  238  226  260  246  247  238  4.687394 0.790405 SUCCESS  56
010010111  257  249  266  237  241  231  258  247  4.094198 0.848526 SUCCESS  57
010011011  255  236  241  234  235  269  261  271  7.058626 0.530321 SUCCESS  58
010011111  213  235  247  223  263  255  228  222 15.682465 0.047157 SUCCESS  59
010100011  236  247  255  262  263  223  260  257  5.879604 0.660716 SUCCESS  60
010100111  249  234  243  240  251  249  223  214 10.053697 0.261277 SUCCESS  61
010101011  253  253  272  249  256  241  231  284  8.846618 0.355400 SUCCESS  62
010101111  253  247  248  241  264  269  235  289  9.960477 0.267811 SUCCESS  63
010110011  234  259  269  238  289  234  273  260 13.445438 0.097415 SUCCESS  64
010110111  226  251  246  254  260  263  227  273  8.009964 0.432497 SUCCESS  65
010111011  264  259  279  260  258  248  259  261  6.167798 0.628442 SUCCESS  66
010111111  250  261  243  244  255  247  249  218  5.229519 0.732787 SUCCESS  67
011000111  271  215  222  257  222  218  251  250 17.811661 0.022684 SUCCESS  68
011001111  247  264  216  263  258  239  280  229 12.643305 0.124726 SUCCESS  69
011010111  263  235  230  254  279  260  253  247  7.321737 0.502351 SUCCESS  70
011011111  266  267  249  262  255  253  266  238  4.657657 0.793461 SUCCESS  71
011101111  259  254  276  276  266  254  252  246  7.213907 0.513740 SUCCESS  72
011111111  247  261  239  232  249  264  243  270  5.052388 0.751962 SUCCESS  73
100000000  260  268  246  247  256  258  244  242  2.687879 0.952394 SUCCESS  74
100010000  244  260  238  249  241  253  258  243  2.000687 0.980991 SUCCESS  75
100100000  256  275  232  274  264  252  270  273 11.141956 0.193785 SUCCESS  76
100101000  271  233  270  260  245  221  234  260 10.144073 0.255059 SUCCESS  77
100110000  253  249  256  240  266  233  239  266  4.418982 0.817483 SUCCESS  78
100111000  254  236  255  264  267  247  246  231  4.584218 0.800949 SUCCESS  79
101000000  260  279  256  249  253  245  269  264  6.501244 0.591270 SUCCESS  80
101000100  262  266  263  237  239  246  261  263  4.824832 0.776124 SUCCESS  81
101001000  241  254  246  270  260  252  264  245  3.471265 0.901408 SUCCESS  82
101001100  257  278  246  269  254  266  244  262  6.886149 0.548965 SUCCESS  83
101010000  271  278  248  241  248  242  261  256  6.356695 0.607343 SUCCESS  84
101010100  264  269  258  248  234  252  271  233  6.685616 0.570901 SUCCESS  85
101011000  285  226  228  237  219  236  244  274 17.465543 0.025610 SUCCESS  86
101011100  255  239  223  241  249  270  264  257  6.627822 0.577267 SUCCESS  87
101100000  245  242  260  256  235  240  248  247  2.325859 0.969357 SUCCESS  88
101100100  226  238  244  229  265  225  272  254 10.531822 0.229663 SUCCESS  89
101101000  261  228  212  237  224  250  263  263 13.363984 0.099925 SUCCESS  90
101101100  241  258  253  252  233  254  245  246  2.082917 0.978364 SUCCESS  91
101110000  251  224  238  238  225  273  251  274 11.151006 0.193289 SUCCESS  92
101110100  257  251  248  246  273  223  270  259  7.488008 0.485007 SUCCESS  93
101111000  245  239  290  251  259  282  227  239 14.493228 0.069781 SUCCESS  94
101111100  244  242  268  257  238  247  268  242  4.196081 0.839013 SUCCESS  95
110000000  249  250  236  246  249  248  242  240  1.575313 0.991385 SUCCESS  96
110000010  267  270  273  240  252  233  220  257 10.593236 0.225829 SUCCESS  97
110000100  242  214  264  250  217  242  237  221 15.372291 0.052298 SUCCESS  98
110001000  241  267  244  245  258  264  235  251  3.794626 0.875161 SUCCESS  99
110001010  209  239  277  248  228  274  261  262 15.970012 0.042811 SUCCESS 100
110010000  238  257  235  269  271  248  256  255  5.320283 0.722859 SUCCESS 101
110010010  256  235  262  236  258  237  268  266  5.852582 0.663741 SUCCESS 102
110010100  250  244  266  261  256  239  218  263  7.293810 0.505290 SUCCESS 103
110011000  241  258  256  223  237  234  272  270  9.179677 0.327366 SUCCESS 104
110011010  271  246  241  248  254  284  247  265  8.066853 0.426967 SUCCESS 105
110100000  256  276  240  244  252  227  252  255  5.833964 0.665824 SUCCESS 106
110100010  256  246  228  231  245  244  258  251  4.227240 0.836061 SUCCESS 107
110100100  267  258  229  254  211  249  234  250 10.701325 0.219203 SUCCESS 108
110101000  259  251  258  238  262  205  245  273 12.464752 0.131641 SUCCESS 109
110101010  269  265  262  241  233  249  273  257  6.952994 0.541713 SUCCESS 110
110101100  271  249  242  250  242  249  243  263  3.265560 0.916604 SUCCESS 111
110110000  238  231  256  266  239  245  260  245  4.416137 0.817763 SUCCESS 112
110110010  237  252  270  221  246  227  242  243  8.564630 0.380342 SUCCESS 113
110110100  270  240  230  240  238  226  234  227 10.351846 0.241194 SUCCESS 114
110111000  246  256  247  238  224  253  240  260  4.505091 0.808924 SUCCESS 115
110111010  233  236  256  256  249  229  263  253  4.866465 0.771749 SUCCESS 116
110111100  238  253  276  273  295  284  239  257 19.497770 0.012413 SUCCESS 117
111000000  233  240  225  227  258  287  258  256 12.724501 0.121687 SUCCESS 118
111000010  244  237  244  248  232  242  247  227  4.834659 0.775093 SUCCESS 119
111000100  232  261  256  244  255  282  229  252  8.321689 0.402694 SUCCESS 120
111000110  257  268  239  233  264  246  239  232  5.954982 0.652275 SUCCESS 121
111001000  243  255  239  263  282  275  241  257  8.873511 0.353079 SUCCESS 122
111001010  250  222  242  273  256  255  258  254  6.281834 0.615695 SUCCESS 123
111001100  268  259  246  237  235  246  293  257 11.296202 0.185474 SUCCESS 124
111010000  256  272  228  222  249  259  278  231 12.473543 0.131293 SUCCESS 125
111010010  254  255  236  262  236  218  225  267 10.399426 0.238103 SUCCESS 126
111010100  266  252  243  247  276  225  233  236  8.702198 0.368038 SUCCESS 127
111010110  242  208  250  239  250  234  255  246  9.282723 0.319010 SUCCESS 128
111011000  253  225  239  278  242  258  273  237  9.785543 0.280402 SUCCESS 129
111011010  276  257  250  258  224  239  224  252  9.372711 0.311836 SUCCESS 130
111011100  235  239  242  262  244  251  256  236  3.400541 0.906770 SUCCESS 131
111100000  236  262  261  248  250  268  253  246  3.370933 0.908972 SUCCESS 132
